Datum,FinanceGroep,Budget
12/5/2022,Actie,176
12/5/2022,Accommodatie,10
12/5/2022,Scholen alleen entree,0
12/5/2022,Evenementen Scholen,0
12/5/2022,Evenementen met entree,0
12/5/2022,Groepen,0
12/5/2022,Gratis/ <3,21
12/5/2022,Abonnement,100
12/6/2022,Vol betalend,43
12/6/2022,Actie,176
12/6/2022,Accommodatie,10
12/6/2022,Scholen alleen entree,0
12/6/2022,Evenementen Scholen,0
12/6/2022,Evenementen met entree,0
12/6/2022,Groepen,0
12/6/2022,Gratis/ <3,21
12/6/2022,Abonnement,100
12/7/2022,Vol betalend,43
12/7/2022,Actie,176
12/7/2022,Accommodatie,10
12/7/2022,Scholen alleen entree,0
12/7/2022,Evenementen Scholen,0
12/7/2022,Evenementen met entree,0
12/7/2022,Groepen,0
12/7/2022,Gratis/ <3,21
12/7/2022,Abonnement,100
12/8/2022,Vol betalend,43
12/8/2022,Actie,176
12/8/2022,Accommodatie,10
12/8/2022,Scholen alleen entree,0
12/8/2022,Evenementen Scholen,0
12/8/2022,Evenementen met entree,0
12/8/2022,Groepen,0
12/8/2022,Gratis/ <3,21
12/8/2022,Abonnement,100
12/9/2022,Vol betalend,43
12/9/2022,Actie,176
12/9/2022,Accommodatie,10
12/9/2022,Scholen alleen entree,0
12/9/2022,Evenementen Scholen,0
12/9/2022,Evenementen met entree,0
12/9/2022,Groepen,0
12/9/2022,Gratis/ <3,21
12/9/2022,Abonnement,100
12/10/2022,Vol betalend,106
12/10/2022,Actie,516
12/10/2022,Accommodatie,25
12/10/2022,Scholen alleen entree,0
12/10/2022,Evenementen Scholen,0
12/10/2022,Evenementen met entree,0
12/10/2022,Groepen,0
12/10/2022,Gratis/ <3,53
12/10/2022,Abonnement,300
12/11/2022,Vol betalend,120
12/11/2022,Actie,502
12/11/2022,Accommodatie,25
12/11/2022,Scholen alleen entree,0
12/11/2022,Evenementen Scholen,0
12/11/2022,Evenementen met entree,0
12/11/2022,Groepen,0
12/11/2022,Gratis/ <3,53
12/11/2022,Abonnement,500
12/12/2022,Vol betalend,43
12/12/2022,Actie,176
12/12/2022,Accommodatie,10
12/12/2022,Scholen alleen entree,0
12/12/2022,Evenementen Scholen,0
12/12/2022,Evenementen met entree,0
12/12/2022,Groepen,0
12/12/2022,Gratis/ <3,21
12/12/2022,Abonnement,100
12/13/2022,Vol betalend,43
12/13/2022,Actie,178
12/13/2022,Accommodatie,10
12/13/2022,Scholen alleen entree,0
12/13/2022,Evenementen Scholen,0
12/13/2022,Evenementen met entree,0
12/13/2022,Groepen,0
12/13/2022,Gratis/ <3,21
12/13/2022,Abonnement,98
12/14/2022,Vol betalend,43
12/14/2022,Actie,186
12/14/2022,Accommodatie,10
12/14/2022,Scholen alleen entree,0
12/14/2022,Evenementen Scholen,0
12/14/2022,Evenementen met entree,0
12/14/2022,Groepen,0
12/14/2022,Gratis/ <3,21
12/14/2022,Abonnement,90
12/15/2022,Vol betalend,43
12/15/2022,Actie,186
12/15/2022,Accommodatie,10
12/15/2022,Scholen alleen entree,0
12/15/2022,Evenementen Scholen,0
12/15/2022,Evenementen met entree,0
12/15/2022,Groepen,0
12/15/2022,Gratis/ <3,21
12/15/2022,Abonnement,90
12/16/2022,Vol betalend,43
12/16/2022,Actie,186
12/16/2022,Accommodatie,10
12/16/2022,Scholen alleen entree,0
12/16/2022,Evenementen Scholen,0
12/16/2022,Evenementen met entree,0
12/16/2022,Groepen,0
12/16/2022,Gratis/ <3,21
12/16/2022,Abonnement,90
12/17/2022,Vol betalend,106
12/17/2022,Actie,516
12/17/2022,Accommodatie,25
12/17/2022,Scholen alleen entree,0
12/17/2022,Evenementen Scholen,0
12/17/2022,Evenementen met entree,0
12/17/2022,Groepen,0
12/17/2022,Gratis/ <3,53
12/17/2022,Abonnement,300
12/18/2022,Vol betalend,120
12/18/2022,Actie,502
12/18/2022,Accommodatie,25
12/18/2022,Scholen alleen entree,0
12/18/2022,Evenementen Scholen,0
12/18/2022,Evenementen met entree,0
12/18/2022,Groepen,0
12/18/2022,Gratis/ <3,53
12/18/2022,Abonnement,500
12/19/2022,Vol betalend,44
12/19/2022,Actie,185
12/19/2022,Accommodatie,10
12/19/2022,Scholen alleen entree,0
12/19/2022,Evenementen Scholen,0
12/19/2022,Evenementen met entree,0
12/19/2022,Groepen,0
12/19/2022,Gratis/ <3,21
12/19/2022,Abonnement,90
12/20/2022,Vol betalend,44
12/20/2022,Actie,185
12/20/2022,Accommodatie,10
12/20/2022,Scholen alleen entree,0
12/20/2022,Evenementen Scholen,0
12/20/2022,Evenementen met entree,0
12/20/2022,Groepen,0
12/20/2022,Gratis/ <3,21
12/20/2022,Abonnement,90
12/21/2022,Vol betalend,42
12/21/2022,Actie,185
12/21/2022,Accommodatie,10
12/21/2022,Scholen alleen entree,0
12/21/2022,Evenementen Scholen,0
12/21/2022,Evenementen met entree,0
12/21/2022,Groepen,0
12/21/2022,Gratis/ <3,21
12/21/2022,Abonnement,92
12/22/2022,Vol betalend,44
12/22/2022,Actie,185
12/22/2022,Accommodatie,10
12/22/2022,Scholen alleen entree,0
12/22/2022,Evenementen Scholen,0
12/22/2022,Evenementen met entree,0
12/22/2022,Groepen,0
12/22/2022,Gratis/ <3,21
12/22/2022,Abonnement,90
12/23/2022,Vol betalend,44
12/23/2022,Actie,185
12/23/2022,Accommodatie,10
12/23/2022,Scholen alleen entree,0
12/23/2022,Evenementen Scholen,0
12/23/2022,Evenementen met entree,0
12/23/2022,Groepen,0
12/23/2022,Gratis/ <3,21
12/23/2022,Abonnement,90
12/24/2022,Vol betalend,1000
12/24/2022,Actie,1415
12/24/2022,Accommodatie,70
12/24/2022,Scholen alleen entree,0
12/24/2022,Evenementen Scholen,0
12/24/2022,Evenementen met entree,0
12/24/2022,Groepen,0
12/24/2022,Gratis/ <3,315
12/24/2022,Abonnement,1200
12/25/2022,Vol betalend,750
12/25/2022,Actie,708
12/25/2022,Accommodatie,67
12/25/2022,Scholen alleen entree,0
12/25/2022,Evenementen Scholen,0
12/25/2022,Evenementen met entree,0
12/25/2022,Groepen,0
12/25/2022,Gratis/ <3,175
12/25/2022,Abonnement,800
12/26/2022,Vol betalend,1000
12/26/2022,Actie,1765
12/26/2022,Accommodatie,70
12/26/2022,Scholen alleen entree,0
12/26/2022,Evenementen Scholen,0
12/26/2022,Evenementen met entree,0
12/26/2022,Groepen,0
12/26/2022,Gratis/ <3,315
12/26/2022,Abonnement,1350
12/27/2022,Vol betalend,1000
12/27/2022,Actie,1915
12/27/2022,Accommodatie,70
12/27/2022,Scholen alleen entree,0
12/27/2022,Evenementen Scholen,0
12/27/2022,Evenementen met entree,0
12/27/2022,Groepen,0
12/27/2022,Gratis/ <3,315
12/27/2022,Abonnement,1200
12/28/2022,Vol betalend,1000
12/28/2022,Actie,1915
12/28/2022,Accommodatie,70
12/28/2022,Scholen alleen entree,0
12/28/2022,Evenementen Scholen,0
12/28/2022,Evenementen met entree,0
12/28/2022,Groepen,0
12/28/2022,Gratis/ <3,315
12/28/2022,Abonnement,1200
12/29/2022,Vol betalend,1000
12/29/2022,Actie,1915
12/29/2022,Accommodatie,70
12/29/2022,Scholen alleen entree,0
12/29/2022,Evenementen Scholen,0
12/29/2022,Evenementen met entree,0
12/29/2022,Groepen,0
12/29/2022,Gratis/ <3,315
12/29/2022,Abonnement,1200
12/30/2022,Vol betalend,1000
12/30/2022,Actie,1915
12/30/2022,Accommodatie,70
12/30/2022,Scholen alleen entree,0
12/30/2022,Evenementen Scholen,0
12/30/2022,Evenementen met entree,0
12/30/2022,Groepen,0
12/30/2022,Gratis/ <3,315
12/30/2022,Abonnement,1200
12/31/2022,Vol betalend,130
12/31/2022,Actie,421
12/31/2022,Accommodatie,66
12/31/2022,Scholen alleen entree,0
12/31/2022,Evenementen Scholen,0
12/31/2022,Evenementen met entree,0
12/31/2022,Groepen,0
12/31/2022,Gratis/ <3,83
12/31/2022,Abonnement,300
1/1/2023,Vol betalend,0
1/1/2023,Actie,0
1/1/2023,Accommodatie,0
1/1/2023,Scholen alleen entree,0
1/1/2023,Evenementen Scholen,0
1/1/2023,Evenementen met entree,0
1/1/2023,Groepen,0
1/1/2023,Gratis/ <3,0
1/1/2023,Abonnement,0
1/2/2023,Vol betalend,1000
1/2/2023,Actie,2115
1/2/2023,Accommodatie,70
1/2/2023,Scholen alleen entree,0
1/2/2023,Evenementen Scholen,0
1/2/2023,Evenementen met entree,0
1/2/2023,Groepen,0
1/2/2023,Gratis/ <3,315
1/2/2023,Abonnement,1000
1/3/2023,Vol betalend,1000
1/3/2023,Actie,2115
1/3/2023,Accommodatie,70
1/3/2023,Scholen alleen entree,0
1/3/2023,Evenementen Scholen,0
1/3/2023,Evenementen met entree,0
1/3/2023,Groepen,0
1/3/2023,Gratis/ <3,315
1/3/2023,Abonnement,1000
1/4/2023,Vol betalend,1000
1/4/2023,Actie,2115
1/4/2023,Accommodatie,70
1/4/2023,Scholen alleen entree,0
1/4/2023,Evenementen Scholen,0
1/4/2023,Evenementen met entree,0
1/4/2023,Groepen,0
1/4/2023,Gratis/ <3,315
1/4/2023,Abonnement,1000
1/5/2023,Vol betalend,1000
1/5/2023,Actie,2115
1/5/2023,Accommodatie,70
1/5/2023,Scholen alleen entree,0
1/5/2023,Evenementen Scholen,0
1/5/2023,Evenementen met entree,0
1/5/2023,Groepen,0
1/5/2023,Gratis/ <3,315
1/5/2023,Abonnement,1000
1/6/2023,Vol betalend,1000
1/6/2023,Actie,2115
1/6/2023,Accommodatie,70
1/6/2023,Scholen alleen entree,0
1/6/2023,Evenementen Scholen,0
1/6/2023,Evenementen met entree,0
1/6/2023,Groepen,0
1/6/2023,Gratis/ <3,315
1/6/2023,Abonnement,1000
1/7/2023,Vol betalend,1000
1/7/2023,Actie,2115
1/7/2023,Accommodatie,70
1/7/2023,Scholen alleen entree,0
1/7/2023,Evenementen Scholen,0
1/7/2023,Evenementen met entree,0
1/7/2023,Groepen,0
1/7/2023,Gratis/ <3,315
1/7/2023,Abonnement,1000
1/8/2023,Vol betalend,1000
1/8/2023,Actie,2115
1/8/2023,Accommodatie,70
1/8/2023,Scholen alleen entree,0
1/8/2023,Evenementen Scholen,0
1/8/2023,Evenementen met entree,0
1/8/2023,Groepen,0
1/8/2023,Gratis/ <3,315
1/8/2023,Abonnement,1000
1/9/2023,Vol betalend,44
1/9/2023,Actie,113
1/9/2023,Accommodatie,10
1/9/2023,Scholen alleen entree,0
1/9/2023,Evenementen Scholen,0
1/9/2023,Evenementen met entree,0
1/9/2023,Groepen,0
1/9/2023,Gratis/ <3,23
1/9/2023,Abonnement,160
1/10/2023,Vol betalend,44
1/10/2023,Actie,113
1/10/2023,Accommodatie,10
1/10/2023,Scholen alleen entree,0
1/10/2023,Evenementen Scholen,0
1/10/2023,Evenementen met entree,0
1/10/2023,Groepen,0
1/10/2023,Gratis/ <3,23
1/10/2023,Abonnement,160
1/11/2023,Vol betalend,44
1/11/2023,Actie,113
1/11/2023,Accommodatie,10
1/11/2023,Scholen alleen entree,0
1/11/2023,Evenementen Scholen,0
1/11/2023,Evenementen met entree,0
1/11/2023,Groepen,0
1/11/2023,Gratis/ <3,23
1/11/2023,Abonnement,160
1/12/2023,Vol betalend,44
1/12/2023,Actie,113
1/12/2023,Accommodatie,10
1/12/2023,Scholen alleen entree,0
1/12/2023,Evenementen Scholen,0
1/12/2023,Evenementen met entree,0
1/12/2023,Groepen,0
1/12/2023,Gratis/ <3,23
1/12/2023,Abonnement,160
1/13/2023,Vol betalend,44
1/13/2023,Actie,113
1/13/2023,Accommodatie,10
1/13/2023,Scholen alleen entree,0
1/13/2023,Evenementen Scholen,0
1/13/2023,Evenementen met entree,0
1/13/2023,Groepen,0
1/13/2023,Gratis/ <3,23
1/13/2023,Abonnement,160
1/14/2023,Vol betalend,203
1/14/2023,Actie,572
1/14/2023,Accommodatie,25
1/14/2023,Scholen alleen entree,0
1/14/2023,Evenementen Scholen,0
1/14/2023,Evenementen met entree,0
1/14/2023,Groepen,0
1/14/2023,Gratis/ <3,100
1/14/2023,Abonnement,400
1/15/2023,Vol betalend,270
1/15/2023,Actie,765
1/15/2023,Accommodatie,25
1/15/2023,Scholen alleen entree,0
1/15/2023,Evenementen Scholen,0
1/15/2023,Evenementen met entree,0
1/15/2023,Groepen,0
1/15/2023,Gratis/ <3,140
1/15/2023,Abonnement,400
1/16/2023,Vol betalend,44
1/16/2023,Actie,113
1/16/2023,Accommodatie,10
1/16/2023,Scholen alleen entree,0
1/16/2023,Evenementen Scholen,0
1/16/2023,Evenementen met entree,0
1/16/2023,Groepen,0
1/16/2023,Gratis/ <3,23
1/16/2023,Abonnement,160
1/17/2023,Vol betalend,44
1/17/2023,Actie,113
1/17/2023,Accommodatie,10
1/17/2023,Scholen alleen entree,0
1/17/2023,Evenementen Scholen,0
1/17/2023,Evenementen met entree,0
1/17/2023,Groepen,0
1/17/2023,Gratis/ <3,23
1/17/2023,Abonnement,160
1/18/2023,Vol betalend,44
1/18/2023,Actie,113
1/18/2023,Accommodatie,10
1/18/2023,Scholen alleen entree,0
1/18/2023,Evenementen Scholen,0
1/18/2023,Evenementen met entree,0
1/18/2023,Groepen,0
1/18/2023,Gratis/ <3,23
1/18/2023,Abonnement,160
1/19/2023,Vol betalend,44
1/19/2023,Actie,113
1/19/2023,Accommodatie,10
1/19/2023,Scholen alleen entree,0
1/19/2023,Evenementen Scholen,0
1/19/2023,Evenementen met entree,0
1/19/2023,Groepen,0
1/19/2023,Gratis/ <3,23
1/19/2023,Abonnement,160
1/20/2023,Vol betalend,44
1/20/2023,Actie,113
1/20/2023,Accommodatie,10
1/20/2023,Scholen alleen entree,0
1/20/2023,Evenementen Scholen,0
1/20/2023,Evenementen met entree,0
1/20/2023,Groepen,0
1/20/2023,Gratis/ <3,23
1/20/2023,Abonnement,160
1/21/2023,Vol betalend,203
1/21/2023,Actie,572
1/21/2023,Accommodatie,25
1/21/2023,Scholen alleen entree,0
1/21/2023,Evenementen Scholen,0
1/21/2023,Evenementen met entree,0
1/21/2023,Groepen,0
1/21/2023,Gratis/ <3,100
1/21/2023,Abonnement,400
1/22/2023,Vol betalend,270
1/22/2023,Actie,765
1/22/2023,Accommodatie,25
1/22/2023,Scholen alleen entree,0
1/22/2023,Evenementen Scholen,0
1/22/2023,Evenementen met entree,0
1/22/2023,Groepen,0
1/22/2023,Gratis/ <3,140
1/22/2023,Abonnement,400
1/23/2023,Vol betalend,44
1/23/2023,Actie,113
1/23/2023,Accommodatie,10
1/23/2023,Scholen alleen entree,0
1/23/2023,Evenementen Scholen,0
1/23/2023,Evenementen met entree,0
1/23/2023,Groepen,0
1/23/2023,Gratis/ <3,23
1/23/2023,Abonnement,160
1/24/2023,Vol betalend,44
1/24/2023,Actie,113
1/24/2023,Accommodatie,10
1/24/2023,Scholen alleen entree,0
1/24/2023,Evenementen Scholen,0
1/24/2023,Evenementen met entree,0
1/24/2023,Groepen,0
1/24/2023,Gratis/ <3,23
1/24/2023,Abonnement,160
1/25/2023,Vol betalend,44
1/25/2023,Actie,113
1/25/2023,Accommodatie,10
1/25/2023,Scholen alleen entree,0
1/25/2023,Evenementen Scholen,0
1/25/2023,Evenementen met entree,0
1/25/2023,Groepen,0
1/25/2023,Gratis/ <3,23
1/25/2023,Abonnement,160
1/26/2023,Vol betalend,44
1/26/2023,Actie,113
1/26/2023,Accommodatie,10
1/26/2023,Scholen alleen entree,0
1/26/2023,Evenementen Scholen,0
1/26/2023,Evenementen met entree,0
1/26/2023,Groepen,0
1/26/2023,Gratis/ <3,23
1/26/2023,Abonnement,160
1/27/2023,Vol betalend,44
1/27/2023,Actie,113
1/27/2023,Accommodatie,10
1/27/2023,Scholen alleen entree,0
1/27/2023,Evenementen Scholen,0
1/27/2023,Evenementen met entree,0
1/27/2023,Groepen,0
1/27/2023,Gratis/ <3,23
1/27/2023,Abonnement,160
1/28/2023,Vol betalend,203
1/28/2023,Actie,572
1/28/2023,Accommodatie,25
1/28/2023,Scholen alleen entree,0
1/28/2023,Evenementen Scholen,0
1/28/2023,Evenementen met entree,0
1/28/2023,Groepen,0
1/28/2023,Gratis/ <3,100
1/28/2023,Abonnement,400
1/29/2023,Vol betalend,270
1/29/2023,Actie,765
1/29/2023,Accommodatie,25
1/29/2023,Scholen alleen entree,0
1/29/2023,Evenementen Scholen,0
1/29/2023,Evenementen met entree,0
1/29/2023,Groepen,0
1/29/2023,Gratis/ <3,140
1/29/2023,Abonnement,400
1/30/2023,Vol betalend,43
1/30/2023,Actie,133
1/30/2023,Accommodatie,11
1/30/2023,Scholen alleen entree,0
1/30/2023,Evenementen Scholen,0
1/30/2023,Evenementen met entree,0
1/30/2023,Groepen,0
1/30/2023,Gratis/ <3,23
1/30/2023,Abonnement,140
1/31/2023,Vol betalend,43
1/31/2023,Actie,133
1/31/2023,Accommodatie,11
1/31/2023,Scholen alleen entree,0
1/31/2023,Evenementen Scholen,0
1/31/2023,Evenementen met entree,0
1/31/2023,Groepen,0
1/31/2023,Gratis/ <3,23
1/31/2023,Abonnement,140
2/1/2023,Vol betalend,43
2/1/2023,Actie,133
2/1/2023,Accommodatie,11
2/1/2023,Scholen alleen entree,0
2/1/2023,Evenementen Scholen,0
2/1/2023,Evenementen met entree,0
2/1/2023,Groepen,0
2/1/2023,Gratis/ <3,23
2/1/2023,Abonnement,140
2/2/2023,Vol betalend,43
2/2/2023,Actie,133
2/2/2023,Accommodatie,11
2/2/2023,Scholen alleen entree,0
2/2/2023,Evenementen Scholen,0
2/2/2023,Evenementen met entree,0
2/2/2023,Groepen,0
2/2/2023,Gratis/ <3,23
2/2/2023,Abonnement,140
2/3/2023,Vol betalend,43
2/3/2023,Actie,133
2/3/2023,Accommodatie,11
2/3/2023,Scholen alleen entree,0
2/3/2023,Evenementen Scholen,0
2/3/2023,Evenementen met entree,0
2/3/2023,Groepen,0
2/3/2023,Gratis/ <3,23
2/3/2023,Abonnement,140
2/4/2023,Vol betalend,270
2/4/2023,Actie,800
2/4/2023,Accommodatie,30
2/4/2023,Scholen alleen entree,0
2/4/2023,Evenementen Scholen,0
2/4/2023,Evenementen met entree,0
2/4/2023,Groepen,0
2/4/2023,Gratis/ <3,50
2/4/2023,Abonnement,500
2/5/2023,Vol betalend,280
2/5/2023,Actie,800
2/5/2023,Accommodatie,50
2/5/2023,Scholen alleen entree,0
2/5/2023,Evenementen Scholen,0
2/5/2023,Evenementen met entree,0
2/5/2023,Groepen,0
2/5/2023,Gratis/ <3,120
2/5/2023,Abonnement,500
2/6/2023,Vol betalend,60
2/6/2023,Actie,159
2/6/2023,Accommodatie,11
2/6/2023,Scholen alleen entree,0
2/6/2023,Evenementen Scholen,0
2/6/2023,Evenementen met entree,0
2/6/2023,Groepen,0
2/6/2023,Gratis/ <3,105
2/6/2023,Abonnement,140
2/7/2023,Vol betalend,60
2/7/2023,Actie,159
2/7/2023,Accommodatie,11
2/7/2023,Scholen alleen entree,0
2/7/2023,Evenementen Scholen,0
2/7/2023,Evenementen met entree,0
2/7/2023,Groepen,0
2/7/2023,Gratis/ <3,105
2/7/2023,Abonnement,140
2/8/2023,Vol betalend,60
2/8/2023,Actie,159
2/8/2023,Accommodatie,11
2/8/2023,Scholen alleen entree,0
2/8/2023,Evenementen Scholen,0
2/8/2023,Evenementen met entree,0
2/8/2023,Groepen,0
2/8/2023,Gratis/ <3,105
2/8/2023,Abonnement,140
2/9/2023,Vol betalend,60
2/9/2023,Actie,159
2/9/2023,Accommodatie,11
2/9/2023,Scholen alleen entree,0
2/9/2023,Evenementen Scholen,0
2/9/2023,Evenementen met entree,0
2/9/2023,Groepen,0
2/9/2023,Gratis/ <3,105
2/9/2023,Abonnement,140
2/10/2023,Vol betalend,60
2/10/2023,Actie,159
2/10/2023,Accommodatie,11
2/10/2023,Scholen alleen entree,0
2/10/2023,Evenementen Scholen,0
2/10/2023,Evenementen met entree,0
2/10/2023,Groepen,0
2/10/2023,Gratis/ <3,105
2/10/2023,Abonnement,140
2/11/2023,Vol betalend,270
2/11/2023,Actie,800
2/11/2023,Accommodatie,30
2/11/2023,Scholen alleen entree,0
2/11/2023,Evenementen Scholen,0
2/11/2023,Evenementen met entree,0
2/11/2023,Groepen,0
2/11/2023,Gratis/ <3,50
2/11/2023,Abonnement,500
2/12/2023,Vol betalend,280
2/12/2023,Actie,800
2/12/2023,Accommodatie,50
2/12/2023,Scholen alleen entree,0
2/12/2023,Evenementen Scholen,0
2/12/2023,Evenementen met entree,0
2/12/2023,Groepen,0
2/12/2023,Gratis/ <3,120
2/12/2023,Abonnement,500
2/13/2023,Vol betalend,271
2/13/2023,Actie,679
2/13/2023,Accommodatie,60
2/13/2023,Scholen alleen entree,0
2/13/2023,Evenementen Scholen,0
2/13/2023,Evenementen met entree,0
2/13/2023,Groepen,0
2/13/2023,Gratis/ <3,140
2/13/2023,Abonnement,450
2/14/2023,Vol betalend,60
2/14/2023,Actie,159
2/14/2023,Accommodatie,11
2/14/2023,Scholen alleen entree,0
2/14/2023,Evenementen Scholen,0
2/14/2023,Evenementen met entree,0
2/14/2023,Groepen,0
2/14/2023,Gratis/ <3,105
2/14/2023,Abonnement,140
2/15/2023,Vol betalend,60
2/15/2023,Actie,159
2/15/2023,Accommodatie,11
2/15/2023,Scholen alleen entree,0
2/15/2023,Evenementen Scholen,0
2/15/2023,Evenementen met entree,0
2/15/2023,Groepen,0
2/15/2023,Gratis/ <3,105
2/15/2023,Abonnement,140
2/16/2023,Vol betalend,60
2/16/2023,Actie,159
2/16/2023,Accommodatie,11
2/16/2023,Scholen alleen entree,0
2/16/2023,Evenementen Scholen,0
2/16/2023,Evenementen met entree,0
2/16/2023,Groepen,0
2/16/2023,Gratis/ <3,105
2/16/2023,Abonnement,140
2/17/2023,Vol betalend,60
2/17/2023,Actie,159
2/17/2023,Accommodatie,11
2/17/2023,Scholen alleen entree,0
2/17/2023,Evenementen Scholen,0
2/17/2023,Evenementen met entree,0
2/17/2023,Groepen,0
2/17/2023,Gratis/ <3,105
2/17/2023,Abonnement,140
2/18/2023,Vol betalend,753
2/18/2023,Actie,1923
2/18/2023,Accommodatie,49
2/18/2023,Scholen alleen entree,0
2/18/2023,Evenementen Scholen,0
2/18/2023,Evenementen met entree,10
2/18/2023,Groepen,0
2/18/2023,Gratis/ <3,225
2/18/2023,Abonnement,540
2/19/2023,Vol betalend,753
2/19/2023,Actie,1923
2/19/2023,Accommodatie,49
2/19/2023,Scholen alleen entree,0
2/19/2023,Evenementen Scholen,0
2/19/2023,Evenementen met entree,10
2/19/2023,Groepen,0
2/19/2023,Gratis/ <3,225
2/19/2023,Abonnement,540
2/20/2023,Vol betalend,170
2/20/2023,Actie,673
2/20/2023,Accommodatie,26
2/20/2023,Scholen alleen entree,0
2/20/2023,Evenementen Scholen,0
2/20/2023,Evenementen met entree,29
2/20/2023,Groepen,0
2/20/2023,Gratis/ <3,72
2/20/2023,Abonnement,580
2/21/2023,Vol betalend,170
2/21/2023,Actie,673
2/21/2023,Accommodatie,26
2/21/2023,Scholen alleen entree,0
2/21/2023,Evenementen Scholen,0
2/21/2023,Evenementen met entree,29
2/21/2023,Groepen,0
2/21/2023,Gratis/ <3,72
2/21/2023,Abonnement,580
2/22/2023,Vol betalend,170
2/22/2023,Actie,673
2/22/2023,Accommodatie,26
2/22/2023,Scholen alleen entree,0
2/22/2023,Evenementen Scholen,0
2/22/2023,Evenementen met entree,29
2/22/2023,Groepen,0
2/22/2023,Gratis/ <3,72
2/22/2023,Abonnement,580
2/23/2023,Vol betalend,170
2/23/2023,Actie,673
2/23/2023,Accommodatie,26
2/23/2023,Scholen alleen entree,0
2/23/2023,Evenementen Scholen,0
2/23/2023,Evenementen met entree,29
2/23/2023,Groepen,0
2/23/2023,Gratis/ <3,72
2/23/2023,Abonnement,580
2/24/2023,Vol betalend,170
2/24/2023,Actie,673
2/24/2023,Accommodatie,26
2/24/2023,Scholen alleen entree,0
2/24/2023,Evenementen Scholen,0
2/24/2023,Evenementen met entree,29
2/24/2023,Groepen,0
2/24/2023,Gratis/ <3,72
2/24/2023,Abonnement,580
2/25/2023,Vol betalend,753
2/25/2023,Actie,1923
2/25/2023,Accommodatie,49
2/25/2023,Scholen alleen entree,0
2/25/2023,Evenementen Scholen,0
2/25/2023,Evenementen met entree,10
2/25/2023,Groepen,0
2/25/2023,Gratis/ <3,225
2/25/2023,Abonnement,540
2/26/2023,Vol betalend,953
2/26/2023,Actie,2053
2/26/2023,Accommodatie,55
2/26/2023,Scholen alleen entree,0
2/26/2023,Evenementen Scholen,0
2/26/2023,Evenementen met entree,24
2/26/2023,Groepen,0
2/26/2023,Gratis/ <3,225
2/26/2023,Abonnement,690
2/27/2023,Vol betalend,1100
2/27/2023,Actie,1160
2/27/2023,Accommodatie,100
2/27/2023,Scholen alleen entree,0
2/27/2023,Evenementen Scholen,0
2/27/2023,Evenementen met entree,0
2/27/2023,Groepen,0
2/27/2023,Gratis/ <3,140
2/27/2023,Abonnement,500
2/28/2023,Vol betalend,1100
2/28/2023,Actie,1160
2/28/2023,Accommodatie,100
2/28/2023,Scholen alleen entree,0
2/28/2023,Evenementen Scholen,0
2/28/2023,Evenementen met entree,0
2/28/2023,Groepen,0
2/28/2023,Gratis/ <3,140
2/28/2023,Abonnement,500
3/1/2023,Vol betalend,1100
3/1/2023,Actie,1160
3/1/2023,Accommodatie,100
3/1/2023,Scholen alleen entree,0
3/1/2023,Evenementen Scholen,0
3/1/2023,Evenementen met entree,0
3/1/2023,Groepen,0
3/1/2023,Gratis/ <3,140
3/1/2023,Abonnement,500
3/2/2023,Vol betalend,1100
3/2/2023,Actie,1160
3/2/2023,Accommodatie,100
3/2/2023,Scholen alleen entree,0
3/2/2023,Evenementen Scholen,0
3/2/2023,Evenementen met entree,0
3/2/2023,Groepen,0
3/2/2023,Gratis/ <3,140
3/2/2023,Abonnement,500
3/3/2023,Vol betalend,1100
3/3/2023,Actie,1160
3/3/2023,Accommodatie,100
3/3/2023,Scholen alleen entree,0
3/3/2023,Evenementen Scholen,0
3/3/2023,Evenementen met entree,0
3/3/2023,Groepen,0
3/3/2023,Gratis/ <3,140
3/3/2023,Abonnement,500
3/4/2023,Vol betalend,753
3/4/2023,Actie,1923
3/4/2023,Accommodatie,49
3/4/2023,Scholen alleen entree,0
3/4/2023,Evenementen Scholen,0
3/4/2023,Evenementen met entree,10
3/4/2023,Groepen,0
3/4/2023,Gratis/ <3,225
3/4/2023,Abonnement,540
3/5/2023,Vol betalend,953
3/5/2023,Actie,2053
3/5/2023,Accommodatie,55
3/5/2023,Scholen alleen entree,0
3/5/2023,Evenementen Scholen,0
3/5/2023,Evenementen met entree,24
3/5/2023,Groepen,0
3/5/2023,Gratis/ <3,225
3/5/2023,Abonnement,690
3/6/2023,Vol betalend,106
3/6/2023,Actie,216
3/6/2023,Accommodatie,25
3/6/2023,Scholen alleen entree,0
3/6/2023,Evenementen Scholen,0
3/6/2023,Evenementen met entree,0
3/6/2023,Groepen,0
3/6/2023,Gratis/ <3,53
3/6/2023,Abonnement,400
3/7/2023,Vol betalend,106
3/7/2023,Actie,216
3/7/2023,Accommodatie,25
3/7/2023,Scholen alleen entree,0
3/7/2023,Evenementen Scholen,0
3/7/2023,Evenementen met entree,0
3/7/2023,Groepen,0
3/7/2023,Gratis/ <3,53
3/7/2023,Abonnement,400
3/8/2023,Vol betalend,106
3/8/2023,Actie,216
3/8/2023,Accommodatie,25
3/8/2023,Scholen alleen entree,0
3/8/2023,Evenementen Scholen,0
3/8/2023,Evenementen met entree,0
3/8/2023,Groepen,0
3/8/2023,Gratis/ <3,53
3/8/2023,Abonnement,400
3/9/2023,Vol betalend,106
3/9/2023,Actie,216
