Datum,FinanceGroep,Budget
1/19/2022,Gratis/ <3,0
1/19/2022,Abonnement,0
1/20/2022,Vol betalend,0
1/20/2022,Actie,0
1/20/2022,Accommodatie,0
1/20/2022,Scholen alleen entree,0
1/20/2022,Evenementen Scholen,0
1/20/2022,Evenementen met entree,0
1/20/2022,Groepen,0
1/20/2022,Gratis/ <3,0
1/20/2022,Abonnement,0
1/21/2022,Vol betalend,0
1/21/2022,Actie,0
1/21/2022,Accommodatie,0
1/21/2022,Scholen alleen entree,0
1/21/2022,Evenementen Scholen,0
1/21/2022,Evenementen met entree,0
1/21/2022,Groepen,0
1/21/2022,Gratis/ <3,0
1/21/2022,Abonnement,0
1/22/2022,Vol betalend,0
1/22/2022,Actie,0
1/22/2022,Accommodatie,0
1/22/2022,Scholen alleen entree,0
1/22/2022,Evenementen Scholen,0
1/22/2022,Evenementen met entree,0
1/22/2022,Groepen,0
1/22/2022,Gratis/ <3,0
1/22/2022,Abonnement,0
1/23/2022,Vol betalend,0
1/23/2022,Actie,0
1/23/2022,Accommodatie,0
1/23/2022,Scholen alleen entree,0
1/23/2022,Evenementen Scholen,0
1/23/2022,Evenementen met entree,0
1/23/2022,Groepen,0
1/23/2022,Gratis/ <3,0
1/23/2022,Abonnement,0
1/24/2022,Vol betalend,0
1/24/2022,Actie,0
1/24/2022,Accommodatie,0
1/24/2022,Scholen alleen entree,0
1/24/2022,Evenementen Scholen,0
1/24/2022,Evenementen met entree,0
1/24/2022,Groepen,0
1/24/2022,Gratis/ <3,0
1/24/2022,Abonnement,0
1/25/2022,Vol betalend,0
1/25/2022,Actie,0
1/25/2022,Accommodatie,0
1/25/2022,Scholen alleen entree,0
1/25/2022,Evenementen Scholen,0
1/25/2022,Evenementen met entree,0
1/25/2022,Groepen,0
1/25/2022,Gratis/ <3,0
1/25/2022,Abonnement,0
1/26/2022,Vol betalend,44
1/26/2022,Actie,113
1/26/2022,Accommodatie,10
1/26/2022,Scholen alleen entree,0
1/26/2022,Evenementen Scholen,0
1/26/2022,Evenementen met entree,0
1/26/2022,Groepen,0
1/26/2022,Gratis/ <3,23
1/26/2022,Abonnement,160
1/27/2022,Vol betalend,44
1/27/2022,Actie,113
1/27/2022,Accommodatie,10
1/27/2022,Scholen alleen entree,0
1/27/2022,Evenementen Scholen,0
1/27/2022,Evenementen met entree,0
1/27/2022,Groepen,0
1/27/2022,Gratis/ <3,23
1/27/2022,Abonnement,160
1/28/2022,Vol betalend,44
1/28/2022,Actie,113
1/28/2022,Accommodatie,10
1/28/2022,Scholen alleen entree,0
1/28/2022,Evenementen Scholen,0
1/28/2022,Evenementen met entree,0
1/28/2022,Groepen,0
1/28/2022,Gratis/ <3,23
1/28/2022,Abonnement,160
1/29/2022,Vol betalend,203
1/29/2022,Actie,572
1/29/2022,Accommodatie,25
1/29/2022,Scholen alleen entree,0
1/29/2022,Evenementen Scholen,0
1/29/2022,Evenementen met entree,0
1/29/2022,Groepen,0
1/29/2022,Gratis/ <3,100
1/29/2022,Abonnement,400
1/30/2022,Vol betalend,270
1/30/2022,Actie,465
1/30/2022,Accommodatie,25
1/30/2022,Scholen alleen entree,0
1/30/2022,Evenementen Scholen,0
1/30/2022,Evenementen met entree,0
1/30/2022,Groepen,0
1/30/2022,Gratis/ <3,140
1/30/2022,Abonnement,700
1/31/2022,Vol betalend,43
1/31/2022,Actie,133
1/31/2022,Accommodatie,11
1/31/2022,Scholen alleen entree,0
1/31/2022,Evenementen Scholen,0
1/31/2022,Evenementen met entree,0
1/31/2022,Groepen,0
1/31/2022,Gratis/ <3,23
1/31/2022,Abonnement,140
2/1/2022,Vol betalend,43
2/1/2022,Actie,133
2/1/2022,Accommodatie,11
2/1/2022,Scholen alleen entree,0
2/1/2022,Evenementen Scholen,0
2/1/2022,Evenementen met entree,0
2/1/2022,Groepen,0
2/1/2022,Gratis/ <3,23
2/1/2022,Abonnement,140
2/2/2022,Vol betalend,43
2/2/2022,Actie,133
2/2/2022,Accommodatie,11
2/2/2022,Scholen alleen entree,0
2/2/2022,Evenementen Scholen,0
2/2/2022,Evenementen met entree,0
2/2/2022,Groepen,0
2/2/2022,Gratis/ <3,23
2/2/2022,Abonnement,140
2/3/2022,Vol betalend,43
2/3/2022,Actie,133
2/3/2022,Accommodatie,11
2/3/2022,Scholen alleen entree,0
2/3/2022,Evenementen Scholen,0
2/3/2022,Evenementen met entree,0
2/3/2022,Groepen,0
2/3/2022,Gratis/ <3,23
2/3/2022,Abonnement,140
2/4/2022,Vol betalend,43
2/4/2022,Actie,133
2/4/2022,Accommodatie,11
2/4/2022,Scholen alleen entree,0
2/4/2022,Evenementen Scholen,0
2/4/2022,Evenementen met entree,0
2/4/2022,Groepen,0
2/4/2022,Gratis/ <3,23
2/4/2022,Abonnement,140
2/5/2022,Vol betalend,202
2/5/2022,Actie,428
2/5/2022,Accommodatie,50
2/5/2022,Scholen alleen entree,0
2/5/2022,Evenementen Scholen,0
2/5/2022,Evenementen met entree,0
2/5/2022,Groepen,0
2/5/2022,Gratis/ <3,120
2/5/2022,Abonnement,300
2/6/2022,Vol betalend,271
2/6/2022,Actie,679
2/6/2022,Accommodatie,60
2/6/2022,Scholen alleen entree,0
2/6/2022,Evenementen Scholen,0
2/6/2022,Evenementen met entree,0
2/6/2022,Groepen,0
2/6/2022,Gratis/ <3,140
2/6/2022,Abonnement,450
2/7/2022,Vol betalend,45
2/7/2022,Actie,131
2/7/2022,Accommodatie,11
2/7/2022,Scholen alleen entree,0
2/7/2022,Evenementen Scholen,0
2/7/2022,Evenementen met entree,0
2/7/2022,Groepen,0
2/7/2022,Gratis/ <3,23
2/7/2022,Abonnement,140
2/8/2022,Vol betalend,45
2/8/2022,Actie,131
2/8/2022,Accommodatie,11
2/8/2022,Scholen alleen entree,0
2/8/2022,Evenementen Scholen,0
2/8/2022,Evenementen met entree,0
2/8/2022,Groepen,0
2/8/2022,Gratis/ <3,23
2/8/2022,Abonnement,140
2/9/2022,Vol betalend,45
2/9/2022,Actie,131
2/9/2022,Accommodatie,11
2/9/2022,Scholen alleen entree,0
2/9/2022,Evenementen Scholen,0
2/9/2022,Evenementen met entree,0
2/9/2022,Groepen,0
2/9/2022,Gratis/ <3,23
2/9/2022,Abonnement,140
2/10/2022,Vol betalend,45
2/10/2022,Actie,131
2/10/2022,Accommodatie,11
