AccessGroupId;Description;Date;NumberOfUsedEntrances
5;Gratis;2016-03-25;145
1;Vol betalend;2016-03-25;347
8;Abonnement;2016-03-25;1871
6;Accommodatiehouder e-tickets;2016-03-25;7
19;Acties E-Ticket;2016-03-25;445
20;Acties Overig;2016-03-25;4
21;Accommodatiehouder meerdagenpas;2016-03-25;12
22;Acties Joint Promotions Open e-tickets;2016-03-25;8
27;Acties Joint Promotions gesloten e-tickets;2016-03-25;226
23;Inkoop E-tickets;2016-03-25;3
29;Abonnement WILDLANDS;2016-03-25;143
31;Acties Joint Promotions open Overig;2016-03-25;15
32;Acties Joint Promotions gesloten Overig;2016-03-25;10
1;Vol betalend;2016-03-26;1021
5;Gratis;2016-03-26;42
6;Accommodatiehouder e-tickets;2016-03-26;367
8;Abonnement;2016-03-26;2751
19;Acties E-Ticket;2016-03-26;1223
21;Accommodatiehouder meerdagenpas;2016-03-26;216
20;Acties Overig;2016-03-26;32
29;Abonnement WILDLANDS;2016-03-26;324
22;Acties Joint Promotions Open e-tickets;2016-03-26;89
31;Acties Joint Promotions open Overig;2016-03-26;55
27;Acties Joint Promotions gesloten e-tickets;2016-03-26;1102
32;Acties Joint Promotions gesloten Overig;2016-03-26;37
1;Vol betalend;2016-03-27;690
5;Gratis;2016-03-27;277
6;Accommodatiehouder e-tickets;2016-03-27;203
8;Abonnement;2016-03-27;2730
19;Acties E-Ticket;2016-03-27;949
23;Inkoop E-tickets;2016-03-27;1
20;Acties Overig;2016-03-27;15
29;Abonnement WILDLANDS;2016-03-27;646
22;Acties Joint Promotions Open e-tickets;2016-03-27;73
31;Acties Joint Promotions open Overig;2016-03-27;58
25;Gratis Joint Promotions E-Tickets;2016-03-27;1
32;Acties Joint Promotions gesloten Overig;2016-03-27;53
27;Acties Joint Promotions gesloten e-tickets;2016-03-27;967
1;Vol betalend;2016-03-28;600
5;Gratis;2016-03-28;247
6;Accommodatiehouder e-tickets;2016-03-28;57
8;Abonnement;2016-03-28;2401
19;Acties E-Ticket;2016-03-28;689
20;Acties Overig;2016-03-28;17
22;Acties Joint Promotions Open e-tickets;2016-03-28;39
21;Accommodatiehouder meerdagenpas;2016-03-28;12
27;Acties Joint Promotions gesloten e-tickets;2016-03-28;608
23;Inkoop E-tickets;2016-03-28;5
32;Acties Joint Promotions gesloten Overig;2016-03-28;19
29;Abonnement WILDLANDS;2016-03-28;562
31;Acties Joint Promotions open Overig;2016-03-28;39
1;Vol betalend;2016-03-29;485
5;Gratis;2016-03-29;198
3;Scholen;2016-03-29;317
8;Abonnement;2016-03-29;958
6;Accommodatiehouder e-tickets;2016-03-29;142
20;Acties Overig;2016-03-29;22
19;Acties E-Ticket;2016-03-29;167
29;Abonnement WILDLANDS;2016-03-29;199
22;Acties Joint Promotions Open e-tickets;2016-03-29;53
31;Acties Joint Promotions open Overig;2016-03-29;65
25;Gratis Joint Promotions E-Tickets;2016-03-29;2
27;Acties Joint Promotions gesloten e-tickets;2016-03-29;914
30;Inkoop Overig;2016-03-29;2
32;Acties Joint Promotions gesloten Overig;2016-03-29;34
1;Vol betalend;2016-03-30;401
5;Gratis;2016-03-30;187
6;Accommodatiehouder e-tickets;2016-03-30;182
20;Acties Overig;2016-03-30;2
8;Abonnement;2016-03-30;1087
21;Accommodatiehouder meerdagenpas;2016-03-30;19
19;Acties E-Ticket;2016-03-30;107
23;Inkoop E-tickets;2016-03-30;2
22;Acties Joint Promotions Open e-tickets;2016-03-30;16
28;Entree Groepen WILDLANDS;2016-03-30;43
25;Gratis Joint Promotions E-Tickets;2016-03-30;4
29;Abonnement WILDLANDS;2016-03-30;210
27;Acties Joint Promotions gesloten e-tickets;2016-03-30;335
31;Acties Joint Promotions open Overig;2016-03-30;25
30;Inkoop Overig;2016-03-30;1
32;Acties Joint Promotions gesloten Overig;2016-03-30;9
1;Vol betalend;2016-03-31;414
20;Acties Overig;2016-03-31;14
5;Gratis;2016-03-31;283
23;Inkoop E-tickets;2016-03-31;2
6;Accommodatiehouder e-tickets;2016-03-31;174
26;Entree Scholen WILDLANDS;2016-03-31;2202
8;Abonnement;2016-03-31;653
28;Entree Groepen WILDLANDS;2016-03-31;61
19;Acties E-Ticket;2016-03-31;66
31;Acties Joint Promotions open Overig;2016-03-31;28
21;Accommodatiehouder meerdagenpas;2016-03-31;15
22;Acties Joint Promotions Open e-tickets;2016-03-31;23
27;Acties Joint Promotions gesloten e-tickets;2016-03-31;253
29;Abonnement WILDLANDS;2016-03-31;170
32;Acties Joint Promotions gesloten Overig;2016-03-31;13
1;Vol betalend;2016-04-01;493
5;Gratis;2016-04-01;266
6;Accommodatiehouder e-tickets;2016-04-01;278
20;Acties Overig;2016-04-01;19
8;Abonnement;2016-04-01;1424
21;Accommodatiehouder meerdagenpas;2016-04-01;28
19;Acties E-Ticket;2016-04-01;105
28;Entree Groepen WILDLANDS;2016-04-01;18
22;Acties Joint Promotions Open e-tickets;2016-04-01;22
31;Acties Joint Promotions open Overig;2016-04-01;45
27;Acties Joint Promotions gesloten e-tickets;2016-04-01;496
29;Abonnement WILDLANDS;2016-04-01;313
30;Inkoop Overig;2016-04-01;1
32;Acties Joint Promotions gesloten Overig;2016-04-01;1
5;Gratis;2016-04-02;369
1;Vol betalend;2016-04-02;852
8;Abonnement;2016-04-02;1788
6;Accommodatiehouder e-tickets;2016-04-02;241
21;Accommodatiehouder meerdagenpas;2016-04-02;38
19;Acties E-Ticket;2016-04-02;448
23;Inkoop E-tickets;2016-04-02;3
20;Acties Overig;2016-04-02;11
29;Abonnement WILDLANDS;2016-04-02;611
22;Acties Joint Promotions Open e-tickets;2016-04-02;61
31;Acties Joint Promotions open Overig;2016-04-02;49
27;Acties Joint Promotions gesloten e-tickets;2016-04-02;1259
32;Acties Joint Promotions gesloten Overig;2016-04-02;26
28;Entree Groepen WILDLANDS;2016-04-02;156
30;Inkoop Overig;2016-04-02;1
2;Groepen;2016-04-03;1
1;Vol betalend;2016-04-03;1155
5;Gratis;2016-04-03;661
6;Accommodatiehouder e-tickets;2016-04-03;174
8;Abonnement;2016-04-03;3584
20;Acties Overig;2016-04-03;11
19;Acties E-Ticket;2016-04-03;667
22;Acties Joint Promotions Open e-tickets;2016-04-03;93
21;Accommodatiehouder meerdagenpas;2016-04-03;13
25;Gratis Joint Promotions E-Tickets;2016-04-03;4
23;Inkoop E-tickets;2016-04-03;6
27;Acties Joint Promotions gesloten e-tickets;2016-04-03;1600
29;Abonnement WILDLANDS;2016-04-03;1516
28;Entree Groepen WILDLANDS;2016-04-03;21
31;Acties Joint Promotions open Overig;2016-04-03;56
32;Acties Joint Promotions gesloten Overig;2016-04-03;57
1;Vol betalend;2016-04-04;298
3;Scholen;2016-04-04;183
6;Accommodatiehouder e-tickets;2016-04-04;314
5;Gratis;2016-04-04;200
20;Acties Overig;2016-04-04;16
8;Abonnement;2016-04-04;608
22;Acties Joint Promotions Open e-tickets;2016-04-04;23
19;Acties E-Ticket;2016-04-04;65
23;Inkoop E-tickets;2016-04-04;2
21;Accommodatiehouder meerdagenpas;2016-04-04;42
27;Acties Joint Promotions gesloten e-tickets;2016-04-04;400
26;Entree Scholen WILDLANDS;2016-04-04;108
28;Entree Groepen WILDLANDS;2016-04-04;378
29;Abonnement WILDLANDS;2016-04-04;277
31;Acties Joint Promotions open Overig;2016-04-04;33
32;Acties Joint Promotions gesloten Overig;2016-04-04;5
3;Scholen;2016-04-05;40
1;Vol betalend;2016-04-05;200
5;Gratis;2016-04-05;150
20;Acties Overig;2016-04-05;8
6;Accommodatiehouder e-tickets;2016-04-05;122
22;Acties Joint Promotions Open e-tickets;2016-04-05;7
8;Abonnement;2016-04-05;204
31;Acties Joint Promotions open Overig;2016-04-05;18
19;Acties E-Ticket;2016-04-05;35
21;Accommodatiehouder meerdagenpas;2016-04-05;22
26;Entree Scholen WILDLANDS;2016-04-05;75
27;Acties Joint Promotions gesloten e-tickets;2016-04-05;185
29;Abonnement WILDLANDS;2016-04-05;118
32;Acties Joint Promotions gesloten Overig;2016-04-05;5
1;Vol betalend;2016-04-06;384
5;Gratis;2016-04-06;138
6;Accommodatiehouder e-tickets;2016-04-06;276
8;Abonnement;2016-04-06;797
19;Acties E-Ticket;2016-04-06;64
21;Accommodatiehouder meerdagenpas;2016-04-06;42
20;Acties Overig;2016-04-06;14
23;Inkoop E-tickets;2016-04-06;5
22;Acties Joint Promotions Open e-tickets;2016-04-06;23
26;Entree Scholen WILDLANDS;2016-04-06;15
27;Acties Joint Promotions gesloten e-tickets;2016-04-06;380
29;Abonnement WILDLANDS;2016-04-06;358
28;Entree Groepen WILDLANDS;2016-04-06;24
31;Acties Joint Promotions open Overig;2016-04-06;19
32;Acties Joint Promotions gesloten Overig;2016-04-06;23
5;Gratis;2016-04-07;159
1;Vol betalend;2016-04-07;202
20;Acties Overig;2016-04-07;20
6;Accommodatiehouder e-tickets;2016-04-07;111
21;Accommodatiehouder meerdagenpas;2016-04-07;19
8;Abonnement;2016-04-07;377
26;Entree Scholen WILDLANDS;2016-04-07;7
19;Acties E-Ticket;2016-04-07;74
28;Entree Groepen WILDLANDS;2016-04-07;70
22;Acties Joint Promotions Open e-tickets;2016-04-07;31
29;Abonnement WILDLANDS;2016-04-07;151
27;Acties Joint Promotions gesloten e-tickets;2016-04-07;187
31;Acties Joint Promotions open Overig;2016-04-07;26
32;Acties Joint Promotions gesloten Overig;2016-04-07;4
1;Vol betalend;2016-04-08;234
2;Groepen;2016-04-08;115
3;Scholen;2016-04-08;19
5;Gratis;2016-04-08;150
6;Accommodatiehouder e-tickets;2016-04-08;105
8;Abonnement;2016-04-08;597
19;Acties E-Ticket;2016-04-08;69
21;Accommodatiehouder meerdagenpas;2016-04-08;40
20;Acties Overig;2016-04-08;16
23;Inkoop E-tickets;2016-04-08;1
22;Acties Joint Promotions Open e-tickets;2016-04-08;23
26;Entree Scholen WILDLANDS;2016-04-08;13
27;Acties Joint Promotions gesloten e-tickets;2016-04-08;332
29;Abonnement WILDLANDS;2016-04-08;247
28;Entree Groepen WILDLANDS;2016-04-08;5
31;Acties Joint Promotions open Overig;2016-04-08;26
32;Acties Joint Promotions gesloten Overig;2016-04-08;9
1;Vol betalend;2016-04-09;760
5;Gratis;2016-04-09;404
6;Accommodatiehouder e-tickets;2016-04-09;302
8;Abonnement;2016-04-09;1671
19;Acties E-Ticket;2016-04-09;258
21;Accommodatiehouder meerdagenpas;2016-04-09;50
20;Acties Overig;2016-04-09;19
23;Inkoop E-tickets;2016-04-09;17
22;Acties Joint Promotions Open e-tickets;2016-04-09;117
29;Abonnement WILDLANDS;2016-04-09;851
25;Gratis Joint Promotions E-Tickets;2016-04-09;10
31;Acties Joint Promotions open Overig;2016-04-09;49
27;Acties Joint Promotions gesloten e-tickets;2016-04-09;1381
32;Acties Joint Promotions gesloten Overig;2016-04-09;32
28;Entree Groepen WILDLANDS;2016-04-09;84
5;Gratis;2016-04-10;580
1;Vol betalend;2016-04-10;1034
8;Abonnement;2016-04-10;3393
6;Accommodatiehouder e-tickets;2016-04-10;152
21;Accommodatiehouder meerdagenpas;2016-04-10;31
19;Acties E-Ticket;2016-04-10;354
23;Inkoop E-tickets;2016-04-10;9
20;Acties Overig;2016-04-10;10
29;Abonnement WILDLANDS;2016-04-10;1699
22;Acties Joint Promotions Open e-tickets;2016-04-10;125
31;Acties Joint Promotions open Overig;2016-04-10;56
25;Gratis Joint Promotions E-Tickets;2016-04-10;2
32;Acties Joint Promotions gesloten Overig;2016-04-10;24
27;Acties Joint Promotions gesloten e-tickets;2016-04-10;1973
28;Entree Groepen WILDLANDS;2016-04-10;105
1;Vol betalend;2016-04-11;341
5;Gratis;2016-04-11;169
3;Scholen;2016-04-11;82
20;Acties Overig;2016-04-11;8
6;Accommodatiehouder e-tickets;2016-04-11;139
21;Accommodatiehouder meerdagenpas;2016-04-11;14
8;Abonnement;2016-04-11;584
23;Inkoop E-tickets;2016-04-11;2
19;Acties E-Ticket;2016-04-11;97
26;Entree Scholen WILDLANDS;2016-04-11;68
22;Acties Joint Promotions Open e-tickets;2016-04-11;56
29;Abonnement WILDLANDS;2016-04-11;249
27;Acties Joint Promotions gesloten e-tickets;2016-04-11;654
31;Acties Joint Promotions open Overig;2016-04-11;29
32;Acties Joint Promotions gesloten Overig;2016-04-11;17
3;Scholen;2016-04-12;121
1;Vol betalend;2016-04-12;179
5;Gratis;2016-04-12;136
6;Accommodatiehouder e-tickets;2016-04-12;65
8;Abonnement;2016-04-12;409
20;Acties Overig;2016-04-12;6
19;Acties E-Ticket;2016-04-12;95
22;Acties Joint Promotions Open e-tickets;2016-04-12;36
21;Accommodatiehouder meerdagenpas;2016-04-12;22
31;Acties Joint Promotions open Overig;2016-04-12;12
26;Entree Scholen WILDLANDS;2016-04-12;113
27;Acties Joint Promotions gesloten e-tickets;2016-04-12;383
29;Abonnement WILDLANDS;2016-04-12;166
32;Acties Joint Promotions gesloten Overig;2016-04-12;16
1;Vol betalend;2016-04-13;291
3;Scholen;2016-04-13;309
6;Accommodatiehouder e-tickets;2016-04-13;86
5;Gratis;2016-04-13;245
20;Acties Overig;2016-04-13;8
8;Abonnement;2016-04-13;1374
22;Acties Joint Promotions Open e-tickets;2016-04-13;65
19;Acties E-Ticket;2016-04-13;62
23;Inkoop E-tickets;2016-04-13;2
21;Accommodatiehouder meerdagenpas;2016-04-13;19
25;Gratis Joint Promotions E-Tickets;2016-04-13;2
26;Entree Scholen WILDLANDS;2016-04-13;75
28;Entree Groepen WILDLANDS;2016-04-13;136
27;Acties Joint Promotions gesloten e-tickets;2016-04-13;683
30;Inkoop Overig;2016-04-13;5
29;Abonnement WILDLANDS;2016-04-13;541
31;Acties Joint Promotions open Overig;2016-04-13;17
32;Acties Joint Promotions gesloten Overig;2016-04-13;12
1;Vol betalend;2016-04-14;265
3;Scholen;2016-04-14;194
6;Accommodatiehouder e-tickets;2016-04-14;72
5;Gratis;2016-04-14;199
20;Acties Overig;2016-04-14;8
8;Abonnement;2016-04-14;436
22;Acties Joint Promotions Open e-tickets;2016-04-14;23
19;Acties E-Ticket;2016-04-14;112
25;Gratis Joint Promotions E-Tickets;2016-04-14;3
21;Accommodatiehouder meerdagenpas;2016-04-14;16
30;Inkoop Overig;2016-04-14;5
26;Entree Scholen WILDLANDS;2016-04-14;257
31;Acties Joint Promotions open Overig;2016-04-14;27
27;Acties Joint Promotions gesloten e-tickets;2016-04-14;529
29;Abonnement WILDLANDS;2016-04-14;190
32;Acties Joint Promotions gesloten Overig;2016-04-14;4
5;Gratis;2016-04-15;102
1;Vol betalend;2016-04-15;126
6;Accommodatiehouder e-tickets;2016-04-15;50
20;Acties Overig;2016-04-15;1
8;Abonnement;2016-04-15;358
23;Inkoop E-tickets;2016-04-15;2
19;Acties E-Ticket;2016-04-15;41
25;Gratis Joint Promotions E-Tickets;2016-04-15;5
21;Accommodatiehouder meerdagenpas;2016-04-15;6
26;Entree Scholen WILDLANDS;2016-04-15;11
22;Acties Joint Promotions Open e-tickets;2016-04-15;28
28;Entree Groepen WILDLANDS;2016-04-15;465
27;Acties Joint Promotions gesloten e-tickets;2016-04-15;413
31;Acties Joint Promotions open Overig;2016-04-15;9
29;Abonnement WILDLANDS;2016-04-15;193
32;Acties Joint Promotions gesloten Overig;2016-04-15;2
1;Vol betalend;2016-04-16;526
2;Groepen;2016-04-16;314
6;Accommodatiehouder e-tickets;2016-04-16;173
5;Gratis;2016-04-16;343
20;Acties Overig;2016-04-16;16
8;Abonnement;2016-04-16;931
22;Acties Joint Promotions Open e-tickets;2016-04-16;159
19;Acties E-Ticket;2016-04-16;296
25;Gratis Joint Promotions E-Tickets;2016-04-16;2
21;Accommodatiehouder meerdagenpas;2016-04-16;45
27;Acties Joint Promotions gesloten e-tickets;2016-04-16;1772
23;Inkoop E-tickets;2016-04-16;6
28;Entree Groepen WILDLANDS;2016-04-16;3
29;Abonnement WILDLANDS;2016-04-16;610
30;Inkoop Overig;2016-04-16;8
31;Acties Joint Promotions open Overig;2016-04-16;34
32;Acties Joint Promotions gesloten Overig;2016-04-16;11
5;Gratis;2016-04-17;548
1;Vol betalend;2016-04-17;919
8;Abonnement;2016-04-17;2226
6;Accommodatiehouder e-tickets;2016-04-17;178
21;Accommodatiehouder meerdagenpas;2016-04-17;32
19;Acties E-Ticket;2016-04-17;354
23;Inkoop E-tickets;2016-04-17;4
20;Acties Overig;2016-04-17;6
29;Abonnement WILDLANDS;2016-04-17;1415
22;Acties Joint Promotions Open e-tickets;2016-04-17;132
31;Acties Joint Promotions open Overig;2016-04-17;51
27;Acties Joint Promotions gesloten e-tickets;2016-04-17;2318
28;Entree Groepen WILDLANDS;2016-04-17;6
30;Inkoop Overig;2016-04-17;1
32;Acties Joint Promotions gesloten Overig;2016-04-17;22
1;Vol betalend;2016-04-18;303
3;Scholen;2016-04-18;664
6;Accommodatiehouder e-tickets;2016-04-18;118
5;Gratis;2016-04-18;191
19;Acties E-Ticket;2016-04-18;36
8;Abonnement;2016-04-18;285
20;Acties Overig;2016-04-18;13
21;Accommodatiehouder meerdagenpas;2016-04-18;37
22;Acties Joint Promotions Open e-tickets;2016-04-18;39
23;Inkoop E-tickets;2016-04-18;2
27;Acties Joint Promotions gesloten e-tickets;2016-04-18;657
26;Entree Scholen WILDLANDS;2016-04-18;296
29;Abonnement WILDLANDS;2016-04-18;183
31;Acties Joint Promotions open Overig;2016-04-18;26
32;Acties Joint Promotions gesloten Overig;2016-04-18;9
1;Vol betalend;2016-04-19;254
3;Scholen;2016-04-19;497
6;Accommodatiehouder e-tickets;2016-04-19;101
5;Gratis;2016-04-19;109
19;Acties E-Ticket;2016-04-19;41
8;Abonnement;2016-04-19;374
20;Acties Overig;2016-04-19;10
21;Accommodatiehouder meerdagenpas;2016-04-19;41
22;Acties Joint Promotions Open e-tickets;2016-04-19;42
26;Entree Scholen WILDLANDS;2016-04-19;234
27;Acties Joint Promotions gesloten e-tickets;2016-04-19;471
29;Abonnement WILDLANDS;2016-04-19;195
28;Entree Groepen WILDLANDS;2016-04-19;44
31;Acties Joint Promotions open Overig;2016-04-19;31
32;Acties Joint Promotions gesloten Overig;2016-04-19;5
1;Vol betalend;2016-04-20;330
5;Gratis;2016-04-20;165
3;Scholen;2016-04-20;431
20;Acties Overig;2016-04-20;11
6;Accommodatiehouder e-tickets;2016-04-20;138
21;Accommodatiehouder meerdagenpas;2016-04-20;34
8;Abonnement;2016-04-20;644
23;Inkoop E-tickets;2016-04-20;2
19;Acties E-Ticket;2016-04-20;83
26;Entree Scholen WILDLANDS;2016-04-20;69
22;Acties Joint Promotions Open e-tickets;2016-04-20;26
29;Abonnement WILDLANDS;2016-04-20;367
27;Acties Joint Promotions gesloten e-tickets;2016-04-20;574
31;Acties Joint Promotions open Overig;2016-04-20;31
1;Vol betalend;2016-04-21;363
3;Scholen;2016-04-21;50
20;Acties Overig;2016-04-21;10
5;Gratis;2016-04-21;211
23;Inkoop E-tickets;2016-04-21;2
6;Accommodatiehouder e-tickets;2016-04-21;113
26;Entree Scholen WILDLANDS;2016-04-21;324
8;Abonnement;2016-04-21;599
28;Entree Groepen WILDLANDS;2016-04-21;6
19;Acties E-Ticket;2016-04-21;59
31;Acties Joint Promotions open Overig;2016-04-21;21
21;Accommodatiehouder meerdagenpas;2016-04-21;33
22;Acties Joint Promotions Open e-tickets;2016-04-21;45
27;Acties Joint Promotions gesloten e-tickets;2016-04-21;690
29;Abonnement WILDLANDS;2016-04-21;372
30;Inkoop Overig;2016-04-21;131
32;Acties Joint Promotions gesloten Overig;2016-04-21;7
5;Gratis;2016-04-22;165
1;Vol betalend;2016-04-22;238
8;Abonnement;2016-04-22;636
3;Scholen;2016-04-22;355
21;Accommodatiehouder meerdagenpas;2016-04-22;19
6;Accommodatiehouder e-tickets;2016-04-22;61
23;Inkoop E-tickets;2016-04-22;2
19;Acties E-Ticket;2016-04-22;71
26;Entree Scholen WILDLANDS;2016-04-22;38
20;Acties Overig;2016-04-22;18
28;Entree Groepen WILDLANDS;2016-04-22;9
22;Acties Joint Promotions Open e-tickets;2016-04-22;45
29;Abonnement WILDLANDS;2016-04-22;378
25;Gratis Joint Promotions E-Tickets;2016-04-22;2
31;Acties Joint Promotions open Overig;2016-04-22;30
27;Acties Joint Promotions gesloten e-tickets;2016-04-22;710
32;Acties Joint Promotions gesloten Overig;2016-04-22;8
2;Groepen;2016-04-23;382
1;Vol betalend;2016-04-23;744
5;Gratis;2016-04-23;233
6;Accommodatiehouder e-tickets;2016-04-23;324
8;Abonnement;2016-04-23;921
19;Acties E-Ticket;2016-04-23;356
21;Accommodatiehouder meerdagenpas;2016-04-23;170
20;Acties Overig;2016-04-23;12
23;Inkoop E-tickets;2016-04-23;4
22;Acties Joint Promotions Open e-tickets;2016-04-23;122
29;Abonnement WILDLANDS;2016-04-23;579
25;Gratis Joint Promotions E-Tickets;2016-04-23;5
31;Acties Joint Promotions open Overig;2016-04-23;82
27;Acties Joint Promotions gesloten e-tickets;2016-04-23;2289
32;Acties Joint Promotions gesloten Overig;2016-04-23;17
28;Entree Groepen WILDLANDS;2016-04-23;15
30;Inkoop Overig;2016-04-23;2
5;Gratis;2016-04-24;237
1;Vol betalend;2016-04-24;599
8;Abonnement;2016-04-24;1776
6;Accommodatiehouder e-tickets;2016-04-24;125
21;Accommodatiehouder meerdagenpas;2016-04-24;88
19;Acties E-Ticket;2016-04-24;240
23;Inkoop E-tickets;2016-04-24;2
20;Acties Overig;2016-04-24;20
29;Abonnement WILDLANDS;2016-04-24;1242
22;Acties Joint Promotions Open e-tickets;2016-04-24;122
31;Acties Joint Promotions open Overig;2016-04-24;57
27;Acties Joint Promotions gesloten e-tickets;2016-04-24;1882
32;Acties Joint Promotions gesloten Overig;2016-04-24;30
28;Entree Groepen WILDLANDS;2016-04-24;42
30;Inkoop Overig;2016-04-24;10
1;Vol betalend;2016-04-25;454
3;Scholen;2016-04-25;98
6;Accommodatiehouder e-tickets;2016-04-25;230
5;Gratis;2016-04-25;121
19;Acties E-Ticket;2016-04-25;164
8;Abonnement;2016-04-25;380
20;Acties Overig;2016-04-25;17
21;Accommodatiehouder meerdagenpas;2016-04-25;126
22;Acties Joint Promotions Open e-tickets;2016-04-25;120
23;Inkoop E-tickets;2016-04-25;3
25;Gratis Joint Promotions E-Tickets;2016-04-25;2
26;Entree Scholen WILDLANDS;2016-04-25;36
27;Acties Joint Promotions gesloten e-tickets;2016-04-25;1208
29;Abonnement WILDLANDS;2016-04-25;251
28;Entree Groepen WILDLANDS;2016-04-25;24
31;Acties Joint Promotions open Overig;2016-04-25;29
30;Inkoop Overig;2016-04-25;3
32;Acties Joint Promotions gesloten Overig;2016-04-25;8
1;Vol betalend;2016-04-26;296
5;Gratis;2016-04-26;121
3;Scholen;2016-04-26;22
20;Acties Overig;2016-04-26;3
6;Accommodatiehouder e-tickets;2016-04-26;235
21;Accommodatiehouder meerdagenpas;2016-04-26;253
8;Abonnement;2016-04-26;333
23;Inkoop E-tickets;2016-04-26;2
19;Acties E-Ticket;2016-04-26;152
26;Entree Scholen WILDLANDS;2016-04-26;394
22;Acties Joint Promotions Open e-tickets;2016-04-26;104
29;Abonnement WILDLANDS;2016-04-26;308
27;Acties Joint Promotions gesloten e-tickets;2016-04-26;1260
31;Acties Joint Promotions open Overig;2016-04-26;45
32;Acties Joint Promotions gesloten Overig;2016-04-26;19
1;Vol betalend;2016-04-27;431
5;Gratis;2016-04-27;196
6;Accommodatiehouder e-tickets;2016-04-27;218
20;Acties Overig;2016-04-27;9
8;Abonnement;2016-04-27;1119
25;Gratis Joint Promotions E-Tickets;2016-04-27;3
19;Acties E-Ticket;2016-04-27;196
31;Acties Joint Promotions open Overig;2016-04-27;56
21;Accommodatiehouder meerdagenpas;2016-04-27;160
22;Acties Joint Promotions Open e-tickets;2016-04-27;90
27;Acties Joint Promotions gesloten e-tickets;2016-04-27;1698
29;Abonnement WILDLANDS;2016-04-27;957
32;Acties Joint Promotions gesloten Overig;2016-04-27;54
1;Vol betalend;2016-04-28;649
5;Gratis;2016-04-28;131
6;Accommodatiehouder e-tickets;2016-04-28;478
20;Acties Overig;2016-04-28;40
8;Abonnement;2016-04-28;511
21;Accommodatiehouder meerdagenpas;2016-04-28;260
19;Acties E-Ticket;2016-04-28;332
23;Inkoop E-tickets;2016-04-28;4
22;Acties Joint Promotions Open e-tickets;2016-04-28;261
26;Entree Scholen WILDLANDS;2016-04-28;52
25;Gratis Joint Promotions E-Tickets;2016-04-28;2
28;Entree Groepen WILDLANDS;2016-04-28;3
27;Acties Joint Promotions gesloten e-tickets;2016-04-28;3015
29;Abonnement WILDLANDS;2016-04-28;414
30;Inkoop Overig;2016-04-28;12
31;Acties Joint Promotions open Overig;2016-04-28;91
32;Acties Joint Promotions gesloten Overig;2016-04-28;34
5;Gratis;2016-04-29;187
1;Vol betalend;2016-04-29;391
20;Acties Overig;2016-04-29;16
3;Scholen;2016-04-29;26
21;Accommodatiehouder meerdagenpas;2016-04-29;155
6;Accommodatiehouder e-tickets;2016-04-29;204
23;Inkoop E-tickets;2016-04-29;2
8;Abonnement;2016-04-29;420
26;Entree Scholen WILDLANDS;2016-04-29;371
19;Acties E-Ticket;2016-04-29;239
28;Entree Groepen WILDLANDS;2016-04-29;14
22;Acties Joint Promotions Open e-tickets;2016-04-29;102
29;Abonnement WILDLANDS;2016-04-29;332
27;Acties Joint Promotions gesloten e-tickets;2016-04-29;1733
31;Acties Joint Promotions open Overig;2016-04-29;55
30;Inkoop Overig;2016-04-29;5
37;Accommodatiehouder;2016-04-29;5
32;Acties Joint Promotions gesloten Overig;2016-04-29;21
5;Gratis;2016-04-30;312
1;Vol betalend;2016-04-30;684
20;Acties Overig;2016-04-30;22
6;Accommodatiehouder e-tickets;2016-04-30;353
21;Accommodatiehouder meerdagenpas;2016-04-30;259
8;Abonnement;2016-04-30;876
23;Inkoop E-tickets;2016-04-30;14
19;Acties E-Ticket;2016-04-30;346
28;Entree Groepen WILDLANDS;2016-04-30;25
22;Acties Joint Promotions Open e-tickets;2016-04-30;246
29;Abonnement WILDLANDS;2016-04-30;592
25;Gratis Joint Promotions E-Tickets;2016-04-30;3
31;Acties Joint Promotions open Overig;2016-04-30;69
27;Acties Joint Promotions gesloten e-tickets;2016-04-30;2787
30;Inkoop Overig;2016-04-30;19
32;Acties Joint Promotions gesloten Overig;2016-04-30;27
5;Gratis;2016-05-01;383
1;Vol betalend;2016-05-01;1726
20;Acties Overig;2016-05-01;19
6;Accommodatiehouder e-tickets;2016-05-01;412
21;Accommodatiehouder meerdagenpas;2016-05-01;253
8;Abonnement;2016-05-01;2243
23;Inkoop E-tickets;2016-05-01;8
19;Acties E-Ticket;2016-05-01;866
25;Gratis Joint Promotions E-Tickets;2016-05-01;15
22;Acties Joint Promotions Open e-tickets;2016-05-01;386
28;Entree Groepen WILDLANDS;2016-05-01;11
27;Acties Joint Promotions gesloten e-tickets;2016-05-01;5741
31;Acties Joint Promotions open Overig;2016-05-01;109
29;Abonnement WILDLANDS;2016-05-01;1809
30;Inkoop Overig;2016-05-01;30
32;Acties Joint Promotions gesloten Overig;2016-05-01;104
1;Vol betalend;2016-05-02;1438
5;Gratis;2016-05-02;434
6;Accommodatiehouder e-tickets;2016-05-02;550
8;Abonnement;2016-05-02;1032
20;Acties Overig;2016-05-02;43
19;Acties E-Ticket;2016-05-02;901
22;Acties Joint Promotions Open e-tickets;2016-05-02;410
21;Accommodatiehouder meerdagenpas;2016-05-02;186
23;Inkoop E-tickets;2016-05-02;6
27;Acties Joint Promotions gesloten e-tickets;2016-05-02;6337
25;Gratis Joint Promotions E-Tickets;2016-05-02;8
29;Abonnement WILDLANDS;2016-05-02;913
