Date,Name
2023-01-01,New Year's Day
2023-02-02,Palm Sunday
2023-04-07,Good Friday
2023-04-09,Easter Sunday
2023-04-10,Easter Monday
2023-05-01,Labour Day
2023-05-18,Ascension Day
2023-05-28,Pentecost Sunday
2023-05-29,Pentecost Monday
2023-06-08,Corpus Christi
2023-10-03,Day of German Unity
2023-10-31,Reformation Day
2023-11-22,Day of Prayer and Repentance
2023-12-24,Christmas Eve
2023-12-25,Christmas Day
2023-12-26,St. Stephen's Day
2023-12-31,New Year's Eve
2023-01-30,Winter Holiday
2023-01-31,Winter Holiday
2023-02-01,Winter Holiday
2023-02-02,Winter Holiday
2023-02-03,Winter Holiday
2023-02-04,Winter Holiday
2023-02-05,Winter Holiday
2023-03-27,Spring Holiday
2023-03-28,Spring Holiday
2023-03-29,Spring Holiday
2023-03-30,Spring Holiday
2023-03-31,Spring Holiday
2023-04-01,Spring Holiday
2023-04-02,Spring Holiday
2023-04-03,Spring Holiday
2023-04-04,Spring Holiday
2023-04-05,Spring Holiday
2023-04-06,Spring Holiday
2023-04-07,Spring Holiday
2023-04-08,Spring Holiday
2023-04-09,Spring Holiday
2023-04-10,Spring Holiday
2023-05-30,Summer Holiday
2023-05-31,Summer Holiday
2023-06-01,Summer Holiday
2023-06-02,Summer Holiday
2023-06-03,Summer Holiday
2023-06-04,Summer Holiday
2023-06-05,Summer Holiday
2023-06-06,Summer Holiday
2023-06-07,Summer Holiday
2023-06-08,Summer Holiday
2023-06-09,Summer Holiday
2023-06-10,Summer Holiday
2023-06-11,Summer Holiday
2023-06-12,Summer Holiday
2023-06-13,Summer Holiday
2023-06-14,Summer Holiday
2023-06-15,Summer Holiday
2023-06-16,Summer Holiday
2023-06-17,Summer Holiday
2023-06-18,Summer Holiday
2023-06-19,Summer Holiday
2023-06-20,Summer Holiday
2023-06-21,Summer Holiday
2023-06-22,Summer Holiday
2023-06-23,Summer Holiday
2023-06-24,Summer Holiday
2023-06-25,Summer Holiday
2023-06-26,Summer Holiday
2023-06-27,Summer Holiday
2023-06-28,Summer Holiday
2023-06-29,Summer Holiday
2023-06-30,Summer Holiday
2023-07-01,Summer Holiday
2023-07-02,Summer Holiday
2023-07-03,Summer Holiday
2023-07-04,Summer Holiday
2023-07-05,Summer Holiday
2023-07-06,Summer Holiday
2023-07-07,Summer Holiday
2023-07-08,Summer Holiday
2023-07-09,Summer Holiday
2023-07-10,Summer Holiday
2023-07-11,Summer Holiday
2023-07-12,Summer Holiday
2023-07-13,Summer Holiday
2023-07-14,Summer Holiday
2023-07-15,Summer Holiday
2023-07-16,Summer Holiday
2023-07-17,Summer Holiday
2023-07-18,Summer Holiday
2023-07-19,Summer Holiday
2023-07-20,Summer Holiday
2023-07-21,Summer Holiday
2023-07-22,Summer Holiday
2023-07-23,Summer Holiday
2023-07-24,Summer Holiday
2023-07-25,Summer Holiday
2023-07-26,Summer Holiday
2023-07-27,Summer Holiday
2023-07-28,Summer Holiday
2023-07-29,Summer Holiday
2023-07-30,Summer Holiday
2023-07-31,Summer Holiday
2023-08-01,Summer Holiday
2023-08-02,Summer Holiday
2023-08-03,Summer Holiday
2023-08-04,Summer Holiday
2023-08-05,Summer Holiday
2023-08-06,Summer Holiday
2023-08-07,Summer Holiday
2023-08-08,Summer Holiday
2023-08-09,Summer Holiday
2023-08-10,Summer Holiday
2023-08-11,Summer Holiday
2023-08-12,Summer Holiday
2023-08-13,Summer Holiday
2023-08-14,Summer Holiday
2023-08-15,Summer Holiday
2023-08-16,Summer Holiday
2023-08-17,Summer Holiday
2023-08-18,Summer Holiday
2023-08-19,Summer Holiday
2023-08-20,Summer Holiday
2023-08-21,Summer Holiday
2023-08-22,Summer Holiday
2023-08-23,Summer Holiday
2023-08-24,Summer Holiday
2023-08-25,Summer Holiday
2023-08-26,Summer Holiday
2023-08-27,Summer Holiday
2023-08-28,Summer Holiday
2023-08-29,Summer Holiday
2023-08-30,Summer Holiday
2023-08-31,Summer Holiday
2023-10-02,Autumn Holiday
2023-10-03,Autumn Holiday
2023-10-04,Autumn Holiday
2023-10-05,Autumn Holiday
2023-10-06,Autumn Holiday
2023-10-07,Autumn Holiday
2023-10-08,Autumn Holiday
2023-10-09,Autumn Holiday
2023-10-10,Autumn Holiday
2023-10-11,Autumn Holiday
2023-10-12,Autumn Holiday
2023-10-13,Autumn Holiday
2023-10-14,Autumn Holiday
2023-12-21,Christmas Holiday
2023-12-22,Christmas Holiday
2023-12-23,Christmas Holiday
2023-12-24,Christmas Holiday
2023-12-25,Christmas Holiday
2023-12-26,Christmas Holiday
2023-12-27,Christmas Holiday
2023-12-28,Christmas Holiday
2023-12-29,Christmas Holiday
2023-12-30,Christmas Holiday
2023-12-31,Christmas Holiday
2024-01-01,Christmas Holiday
2024-01-02,Christmas Holiday
2024-01-03,Christmas Holiday
2024-01-04,Christmas Holiday
2024-01-05,Christmas Holiday
2024-01-06,Christmas Holiday
